subdomain,ip,cloudflare
amp.rapidapi.com,172.66.41.24,True
blog.rapidapi.com,172.66.41.24,True
blog-proxy.rapidapi.com,162.159.134.42,True
cdn.rapidapi.com,18.165.227.64,False
courses.rapidapi.com,172.66.41.24,True
developers.rapidapi.com,172.66.41.24,True
directory-proxy.rapidapi.com,162.159.134.42,True
docs.rapidapi.com,104.16.241.118,True
em.rapidapi.com,104.17.70.206,True
engineering.rapidapi.com,66.33.60.67,False
enterprise-docs.rapidapi.com,172.66.41.24,True
get.rapidapi.com,104.18.34.21,True
go.rapidapi.com,104.17.74.206,True
googlesheets.rapidapi.com,,False
groove.rapidapi.com,98.85.65.189,False
guides.rapidapi.com,172.66.41.24,True
hello.rapidapi.com,,False
hub.rapidapi.com,,False
hub-ca.rapidapi.com,,False
hub-eu.rapidapi.com,,False
hub-stage.rapidapi.com,,False
hub-us.rapidapi.com,,False
jobs.rapidapi.com,66.33.60.130,False
learn.rapidapi.com,172.66.41.24,True
lms.rapidapi.com,66.33.60.35,False
m.rapidapi.com,,False
m-aws-ap-south-1.rapidapi.com,,False
m-ca.rapidapi.com,,False
m-eu.rapidapi.com,,False
mac-docs.rapidapi.com,104.16.241.118,True
okinatako.rapidapi.com,,False
p.rapidapi.com,,False
p-aws-ap-northeast-1.rapidapi.com,,False
p-aws-ap-south-1.rapidapi.com,,False
p-aws-ap-southeast-1.rapidapi.com,,False
p-aws-ap-southeast-2.rapidapi.com,,False
p-aws-eu-central-1.rapidapi.com,,False
p-aws-eu-west-1.rapidapi.com,,False
p-aws-sa-east-1.rapidapi.com,,False
p-aws-us-east-1.rapidapi.com,,False
p-aws-us-west-1.rapidapi.com,,False
p-aws-us-west-2.rapidapi.com,,False
p-ca.rapidapi.com,,False
p-eu.rapidapi.com,,False
p-eu-aws-ap-southeast-1.rapidapi.com,,False
p-eu-aws-eu-central-1.rapidapi.com,,False
p-eu-aws-us-east-1.rapidapi.com,,False
p-eu-aws-us-east-2.rapidapi.com,,False
p-us.rapidapi.com,,False
ssl.hub.rapidapi.com,13.219.126.129,False
stacks.rapidapi.com,66.33.60.130,False
staging.rapidapi.com,172.66.41.24,True
support.rapidapi.com,216.198.54.6,False
test.rapidapi.com,172.66.41.24,True
threads.rapidapi.com,172.66.41.24,True
training.rapidapi.com,104.26.12.36,True
v2.rapidapi.com,54.235.17.224,False
webhooks.rapidapi.com,172.66.41.24,True
webhooks-events.rapidapi.com,,False
website.rapidapi.com,172.66.41.24,True
wp.rapidapi.com,,False
www.rapidapi.com,172.66.41.24,True
www.courses.rapidapi.com,,False
www.get.rapidapi.com,,False
www.guides.rapidapi.com,,False
www.learn.rapidapi.com,,False
www.lms.rapidapi.com,76.76.21.93,False
www.stacks.rapidapi.com,76.76.21.93,False
www.support.rapidapi.com,,False
www.webhooks.rapidapi.com,,False
